gen_count, change_count, dist, prec, iterations, end_fitness
5, 1, 0.25, 999.99, 1179, 999.9904938144696
5, 1, 0.25, 999.99, 356, 999.9928144412748
5, 1, 0.25, 999.999, 1962, 999.9991933011877
5, 1, 0.25, 999.999, 3432, 999.9999648990972
5, 1, 0.25, 999.999, 2019, 999.9991285754519
5, 1, 0.25, 999.999, 2491, 999.9997802676837
5, 1, 0.25, 999.999, 2435, 999.9994977027042
5, 1, 0.25, 999.9999, 5111, 999.9999127970851
5, 1, 0.25, 999.9999, 9029, 999.9999176424241
5, 1, 0.25, 999.9999, 8173, 999.9999101469414
5, 1, 0.25, 999.9999, 13655, 999.9999539113452
5, 1, 0.25, 999.9999, 7923, 999.9999173517997
5, 2, 0.25, 700, 38, 710.3222248473195
5, 2, 0.25, 700, 17, 771.8512136844327
5, 2, 0.25, 700, 47, 726.8478380740465
5, 2, 0.25, 700, 28, 711.5378602384193
5, 2, 0.25, 700, 14, 713.9171560613302
5, 2, 0.25, 800, 33, 812.0321920480708
5, 2, 0.25, 800, 66, 883.243777343121
5, 2, 0.25, 800, 68, 800.6792060875896
5, 2, 0.25, 800, 48, 827.2615030748398
5, 2, 0.25, 800, 68, 801.3883042961983
5, 2, 0.25, 999, 359, 999.4444214250102
5, 2, 0.25, 999, 168, 999.0716412234447
5, 2, 0.25, 999, 182, 999.7267348190821
5, 2, 0.25, 999, 111, 999.4195910805445
5, 2, 0.25, 999, 262, 999.0333688820047
5, 2, 0.25, 999.9, 4567, 999.9110627775166
5, 2, 0.25, 999.9, 2327, 999.9429406456456
5, 2, 0.25, 999.9, 2858, 999.9171798268557
5, 2, 0.25, 999.9, 4905, 999.9752000101425
5, 2, 0.25, 999.9, 2397, 999.9022165976553
5, 2, 0.25, 999.99, 17170, 999.9936919678172
5, 2, 0.25, 999.99, 5544, 999.9957088410249
5, 2, 0.25, 999.99, 9632, 999.9977840549565
5, 2, 0.25, 999.99, 64902, 999.991408680217
5, 2, 0.25, 999.99, 13314, 999.9900835664346
5, 2, 0.25, 999.999, 92900, 999.999358974655
5, 2, 0.25, 999.999, 130323, 999.999103125579
5, 2, 0.25, 999.999, 154977, 999.9993291274332
5, 2, 0.25, 999.999, 169811, 999.99953585363
5, 2, 0.25, 999.999, 79554, 999.9993284290504
5, 2, 0.25, 999.9999, 3353492, 999.9999061615674
5, 2, 0.25, 999.9999, 3302973, 999.9999092115124
5, 2, 0.25, 999.9999, 280440, 999.9999075668679
5, 2, 0.25, 999.9999, 4246956, 999.9999163990897
5, 2, 0.25, 999.9999, 2521104, 999.9999317743476
5, 3, 0.25, 700, 47, 755.934131464564
5, 3, 0.25, 700, 37, 750.5827139090122
5, 3, 0.25, 700, 15, 727.2387928211357
5, 3, 0.25, 700, 42, 704.3313364588007
5, 3, 0.25, 700, 27, 767.6796840500476
5, 3, 0.25, 800, 47, 807.8829249704227
5, 3, 0.25, 800, 41, 838.4727768517605
5, 3, 0.25, 800, 25, 818.3431217702396
5, 3, 0.25, 800, 48, 864.0140951424502
5, 3, 0.25, 800, 60, 831.9515522392146
5, 3, 0.25, 999, 900, 999.0634930059189
5, 3, 0.25, 999, 302, 999.1132116390896
5, 3, 0.25, 999, 2563, 999.168669942681
5, 3, 0.25, 999, 1770, 999.5357491652543
5, 3, 0.25, 999, 1503, 999.0237830292073
5, 3, 0.25, 999.9, 25798, 999.9346783362231
5, 3, 0.25, 999.9, 11014, 999.9227454289027
5, 3, 0.25, 999.9, 26656, 999.9574940495947
5, 3, 0.25, 999.9, 48359, 999.9579092630772
5, 3, 0.25, 999.9, 10222, 999.9140646450954
5, 3, 0.25, 999.99, 262371, 999.99243101467
5, 3, 0.25, 999.99, 30126, 999.9963897992744
5, 3, 0.25, 999.99, 1009371, 999.9921499598254
5, 3, 0.25, 999.99, 1383985, 999.9912658138168
5, 3, 0.25, 999.99, 445067, 999.9929068601409
5, 3, 0.25, 999.999, 10000000, 999.9977517973169
5, 3, 0.25, 999.999, 4780293, 999.9995512459355
5, 3, 0.25, 999.999, 8468146, 999.9992442444325
5, 3, 0.25, 999.999, 10000000, 999.9977164333944
5, 3, 0.25, 999.999, 10000000, 999.9986602934384
5, 3, 0.25, 999.9999, 10000000, 999.997006526727
5, 3, 0.25, 999.9999, 10000000, 999.9967468110159
5, 3, 0.25, 999.9999, 10000000, 999.9961835331862
5, 3, 0.25, 999.9999, 10000000, 999.9977739656985
5, 3, 0.25, 999.9999, 10000000, 999.997714079856
5, 4, 0.25, 700, 36, 762.0370499939594
5, 4, 0.25, 700, 40, 728.0798114293041
5, 4, 0.25, 700, 50, 712.3930668774148
5, 4, 0.25, 700, 20, 749.7197810596366
5, 4, 0.25, 700, 21, 773.1064323674443
5, 4, 0.25, 800, 19, 825.5132059322194
5, 4, 0.25, 800, 43, 877.7827438226682
5, 4, 0.25, 800, 45, 864.8542309300055
5, 4, 0.25, 800, 36, 849.3795102461235
5, 4, 0.25, 800, 28, 868.6838344756638
5, 4, 0.25, 999, 3332, 999.3045653207294
5, 4, 0.25, 999, 814, 999.5203753791476
5, 4, 0.25, 999, 3032, 999.1619050415046
5, 4, 0.25, 999, 10838, 999.2473635056615
5, 4, 0.25, 999, 1310, 999.2846679738425
5, 4, 0.25, 999.9, 816456, 999.9315314251756
5, 4, 0.25, 999.9, 720354, 999.9751793362651
5, 4, 0.25, 999.9, 335468, 999.9460551741201
5, 4, 0.25, 999.9, 434278, 999.9168500529602
5, 4, 0.25, 999.9, 188404, 999.969938230904
5, 4, 0.25, 999.99, 10000000, 999.9742257845521
5, 4, 0.25, 999.99, 10000000, 999.9486735716313
5, 4, 0.25, 999.99, 10000000, 999.9774860002386
5, 4, 0.25, 999.99, 10000000, 999.9701147668954
